iter	Passed	Remaining
0	0	57
1	1	53
2	1	50
3	2	48
4	2	48
5	3	48
6	3	49
7	4	49
8	4	48
9	5	48
10	6	48
11	6	48
12	7	47
13	7	45
14	7	44
15	8	44
16	8	43
17	9	42
18	9	42
19	10	41
20	10	40
21	11	39
22	11	38
23	11	37
24	12	37
25	12	36
26	13	36
27	13	35
28	14	34
29	14	33
30	14	33
31	15	32
32	15	31
33	16	31
34	16	30
35	16	30
36	17	29
37	17	28
38	18	28
39	18	27
40	18	27
41	18	26
42	19	25
43	19	25
44	20	24
45	20	24
46	20	23
47	21	22
48	21	22
49	22	22
50	22	21
51	22	21
52	23	20
53	23	20
54	23	19
55	24	19
56	24	18
57	24	18
58	25	17
59	25	17
60	26	16
61	26	16
62	26	15
63	27	15
64	27	14
65	28	14
66	28	13
67	28	13
68	29	13
69	29	12
70	29	12
71	30	11
72	30	11
73	31	10
74	31	10
75	31	10
76	32	9
77	32	9
78	33	8
79	33	8
80	34	8
81	34	7
82	34	7
83	35	6
84	35	6
85	36	5
86	36	5
87	36	5
88	37	4
89	37	4
90	38	3
91	38	3
92	39	2
93	39	2
94	39	2
95	40	1
96	40	1
97	41	0
98	41	0
99	41	0
