iter	Passed	Remaining
0	48	48338
1	48	24357
2	49	16376
3	49	12365
4	50	9979
5	50	8374
6	51	7236
7	51	6383
8	51	5721
9	52	5179
10	52	4739
11	53	4371
12	53	4060
13	53	3793
14	54	3561
15	54	3359
16	54	3180
17	55	3021
18	55	2889
19	56	2765
20	56	2649
21	57	2544
22	57	2447
23	58	2360
24	58	2279
25	58	2204
26	59	2134
27	59	2068
28	59	2007
29	60	1952
30	61	1913
31	61	1863
32	62	1818
33	62	1777
34	62	1735
35	63	1695
36	63	1658
37	64	1623
38	64	1589
39	64	1557
40	65	1526
41	65	1497
42	66	1469
43	66	1443
44	66	1418
45	67	1394
46	67	1371
47	68	1349
48	68	1327
49	68	1307
50	69	1287
51	69	1268
52	69	1250
53	70	1232
54	70	1215
55	71	1199
56	71	1183
57	71	1168
58	72	1155
59	73	1156
60	74	1142
61	74	1130
62	75	1117
63	75	1104
64	76	1093
65	76	1082
66	76	1070
67	77	1059
68	77	1048
69	78	1037
70	78	1027
71	78	1017
72	79	1007
73	79	997
74	80	988
75	80	978
76	80	969
77	81	960
78	81	952
79	82	943
80	82	935
81	82	926
82	83	917
83	83	909
84	83	901
85	84	894
86	84	887
87	84	880
88	85	873
89	85	866
90	86	860
91	86	853
92	86	847
93	87	841
94	87	835
95	88	829
96	88	824
97	88	818
98	89	813
99	89	808
100	90	803
101	90	799
102	91	794
103	91	789
104	92	785
105	92	780
106	92	775
107	93	770
108	93	766
109	94	761
110	94	757
111	94	752
112	95	748
113	95	743
114	96	739
115	96	735
116	96	730
117	97	726
118	97	722
119	97	718
120	98	714
121	98	710
122	99	706
123	99	702
124	99	698
125	100	695
126	100	691
127	100	687
128	101	685
129	101	681
130	102	678
131	102	675
132	103	673
133	103	670
134	104	667
135	104	665
136	105	662
137	105	659
138	106	657
139	106	654
140	107	652
141	107	648
142	107	645
143	108	642
144	108	640
145	108	637
146	109	634
147	109	632
148	110	629
149	110	626
150	110	624
151	111	621
152	111	618
153	112	616
154	112	613
155	112	611
156	113	608
157	113	606
158	114	604
159	114	601
160	114	598
161	115	596
162	115	593
163	116	591
164	116	589
165	116	586
166	118	588
167	119	592
168	120	591
169	120	589
170	121	587
171	121	585
172	122	584
173	122	583
174	123	581
175	123	579
176	124	577
177	124	575
178	125	573
179	125	571
180	125	569
181	126	567
182	126	565
183	127	563
184	127	561
185	127	559
186	128	558
187	128	556
188	129	554
189	129	552
190	130	550
191	130	548
192	130	547
193	131	545
194	131	543
195	132	542
196	132	540
197	132	538
198	133	537
199	133	535
200	134	533
201	134	532
202	135	530
203	135	529
204	136	527
205	136	526
206	136	524
207	137	523
208	137	521
209	138	520
210	138	519
211	139	517
212	139	516
213	140	514
214	140	513
215	141	511
216	141	510
217	141	508
218	142	507
219	142	505
220	143	504
221	143	502
222	143	501
223	144	502
224	145	500
225	145	499
226	154	524
227	154	523
228	154	521
229	155	520
230	155	518
231	156	517
232	156	515
233	157	514
234	157	513
235	158	511
236	158	510
237	158	508
238	159	507
239	159	505
240	160	504
241	160	503
242	161	501
243	161	500
244	161	498
245	162	497
246	162	496
247	163	494
248	163	493
249	164	492
250	164	490
